year,month,horas_sur,pct_horas_sur,pct_ops_sur,pct_acum_horas_sur
2017,1,10.6,1.4,1.4,1.4
2017,2,169.2,25.2,26.6,12.7
2017,3,181.7,24.4,29.9,16.7
2017,4,101.03,14.0,16.5,16.1
2017,5,192.23,25.8,28.9,18.1
2017,6,134.8,18.7,23.1,18.2
2017,7,198.5,26.7,33.1,19.4
2017,8,126.0,16.9,20.0,19.1
2017,9,35.0,4.8,6.3,17.7
2017,10,40.0,5.4,7.5,16.4
2017,11,22.0,3.0,4.1,15.2
2017,12,69.0,9.2,9.9,14.7
2018,1,88.0,11.8,14.3,11.8
2018,2,54.7,8.1,10.1,10.1
2018,3,393.05,52.8,56.0,24.8
2018,4,293.25,40.7,42.6,28.8
2018,5,88.08,11.8,14.0,25.3
2018,6,127.83,17.8,21.3,24.1
2018,7,230.92,31.0,37.9,25.1
2018,8,81.72,11.0,13.7,23.3
2018,9,63.78,8.9,10.3,21.7
2018,10,99.78,13.4,16.7,20.9
2018,11,184.1,25.6,27.4,21.3
2018,12,22.0,3.0,3.9,19.7
2019,1,42.8,5.8,6.8,5.8
2019,2,47.9,7.1,8.6,6.4
2019,3,221.2,29.7,37.9,14.4
2019,4,186.7,25.9,27.3,17.3
2019,5,97.9,13.2,15.0,16.5
2019,6,314.5,43.7,50.7,21.0
2019,7,257.9,34.7,38.2,23.0
2019,8,229.25,30.8,36.9,24.0
2019,9,57.0,7.9,10.0,22.2
2019,10,107.6,14.5,17.3,21.4
2019,11,271.7,37.7,38.0,22.9
2019,12,167.5,22.5,25.9,22.9
2020,1,65.47,8.8,10.8,8.8
2020,2,29.72,4.3,5.1,4.3
2020,3,111.7,15.0,20.6,15.0
2020,4,146.9,20.4,23.0,20.4
2020,5,160.8,21.6,20.8,14.1
2020,6,107.5,14.9,18.6,14.2
2020,7,126.9,17.1,20.4,14.7
2020,8,118.8,16.0,20.2,14.8
2020,9,107.0,14.9,18.1,14.8
2020,10,108.8,14.6,15.1,14.8
2020,11,40.3,5.6,7.2,14.0
2020,12,116.2,15.6,14.5,14.1
2021,1,77.1,10.4,13.4,10.4
2021,2,205.6,30.6,32.2,20.0
2021,3,50.9,6.8,10.3,15.4
2021,4,129.7,18.0,21.6,16.1
2021,5,127.8,17.2,18.5,16.3
2021,6,247.1,34.3,40.6,19.3
2021,7,189.4,25.5,32.7,20.2
2021,8,239.5,32.2,40.4,21.7
2021,9,160.3,22.3,30.3,21.8
2021,10,116.7,15.7,17.1,21.2
2021,11,25.7,3.6,3.3,19.6
2021,12,91.2,12.3,13.2,19.0
2022,1,13.9,1.9,2.4,1.9
2022,2,29.2,4.3,5.2,3.0
2022,3,160.5,21.6,24.7,9.4
2022,4,179.2,24.9,31.1,13.3
2022,5,161.0,21.6,25.8,15.0
2022,6,275.3,38.2,50.3,18.9
2022,7,216.6,29.1,33.9,20.4
2022,8,278.3,37.4,43.8,22.5
2022,9,191.9,26.7,33.2,23.0
2022,10,164.0,22.0,21.4,22.9
2022,11,180.4,25.1,29.0,23.1
2022,12,169.3,22.8,25.6,23.1
2023,1,59.0,7.9,8.6,7.9
2023,2,36.2,5.4,7.3,6.7
2023,3,220.2,29.6,32.9,14.6
2023,4,104.8,14.6,19.1,14.6
2023,5,104.9,14.1,16.8,14.5
2023,6,141.0,19.6,22.6,15.3
2023,7,266.3,35.8,46.8,18.3
2023,8,207.7,27.9,36.7,19.5
2023,9,148.7,20.7,24.4,19.7
2023,10,263.3,35.4,36.6,21.3
2023,11,205.2,28.5,28.7,21.9
2023,12,42.2,5.7,6.7,20.5
2024,1,92.2,12.4,12.3,12.4
2024,2,118.8,17.1,19.4,14.7
2024,3,276.3,37.1,39.4,22.3
2024,4,140.8,19.6,23.0,21.6
2024,5,128.6,17.3,20.8,20.7
2024,6,169.6,23.6,27.7,21.2
2024,7,229.5,30.8,35.9,22.6
2024,8,164.3,22.1,24.8,22.5
2024,9,125.4,17.4,20.0,22.0
2024,10,364.7,49.0,57.7,24.7
2024,11,156.5,21.7,27.9,24.5
2024,12,7.0,0.9,1.5,22.5
2025,1,226.9,30.5,30.8,30.5
2025,2,36.6,5.4,5.4,18.6
2025,3,258.4,34.7,34.7,24.2
2025,4,221.7,31.6,33.3,26.0
2025,5,123.0,16.5,17.8,24.1
2025,6,103.2,14.3,17.6,22.5
2025,7,123.3,16.6,20.1,21.6
2025,8,99.9,13.4,17.5,20.6
2025,9,87.3,12.1,14.3,19.6
2025,10,99.5,13.4,15.0,19.0
2025,11,171.5,23.8,26.7,19.4
2025,12,54.3,7.3,8.5,18.4
2026,1,138.7,18.6,17.1,18.6
2026,2,261.8,39.0,39.3,28.3
