year,month,sensor,pct_horas_sur,pct_ops_sur,pct_acum_horas_sur,horas_sur,laeq_total_day,laeq_total_day_flags,laeq_total_day_n_readings,laeq_total_day_review,laeq_avion_day,laeq_avion_day_flags,laeq_avion_day_n_readings,laeq_avion_day_review,laeq_total_evening,laeq_total_evening_flags,laeq_total_evening_n_readings,laeq_total_evening_review,laeq_avion_evening,laeq_avion_evening_flags,laeq_avion_evening_n_readings,laeq_avion_evening_review,laeq_total_night,laeq_total_night_flags,laeq_total_night_n_readings,laeq_total_night_review,laeq_avion_night,laeq_avion_night_flags,laeq_avion_night_n_readings,laeq_avion_night_review
2017,1,vivero,1.4,1.4,1.4,10.6,45.4,,3,high_spread_10.7|std_6.2,45.4,,1,only_1_readings,44.8,,2,high_spread_14.4|only_2_readings,37.6,,1,only_1_readings,50.8,,5,,20.2,,5,
2017,2,vivero,25.2,26.6,12.7,169.2,52.35,,4,high_spread_11.7|std_5.8,44.5,,2,only_2_readings,51.7,,3,high_spread_13.9|std_8.0,37.8,,2,only_2_readings,53.2,,5,,20.7,,6,
2017,3,vivero,24.4,29.9,16.7,181.7,49.25,,4,high_spread_20.0|std_9.8,43.2,,3,,50.9,,4,high_spread_15.3|std_7.6,35.6,,3,,50.8,,7,,18.9,,7,
2017,4,vivero,14.0,16.5,16.1,101.03,54.9,,4,high_spread_11.7|std_5.8,43.2,,4,,51.6,,5,high_spread_16.4|std_9.0,35.2,,3,,51.5,,5,,16.4,,8,
2017,5,vivero,25.8,28.9,18.1,192.23,55.2,,4,high_spread_12.6|std_6.3,42.6,,5,,51.0,,3,high_spread_17.7|std_10.2,33.3,,4,,50.0,,9,,15.0,,9,
2017,6,vivero,18.7,23.1,18.2,134.8,55.2,,7,high_spread_12.0|std_4.5,43.2,,6,,53.0,,6,high_spread_19.0|std_9.8,34.0,,3,,51.2,,6,,31.5,,8,
2017,7,vivero,26.7,33.1,19.4,198.5,55.3,,6,,42.8,,7,,31.9,,2,only_2_readings,31.9,,5,,50.3,,11,,20.7,,8,
2017,8,vivero,16.9,20.0,19.1,126.0,53.1,,10,high_spread_12.9|std_6.2,40.2,,8,,48.6,,5,high_spread_19.8|std_10.8,28.8,,5,high_spread_6.0|std_3.0,46.4,,9,,,,13,no_valid_readings
2017,9,vivero,4.8,6.3,17.7,35.0,54.6,,9,high_spread_10.4|std_5.2,44.2,,8,,50.7,,8,high_spread_14.5|std_7.5,36.2,,7,,49.4,,12,high_spread_9.0|std_2.6,13.1,,12,
2017,10,vivero,5.4,7.5,16.4,40.0,55.8,,7,,44.1,,8,,51.8,,7,high_spread_15.7|std_8.4,36.1,,8,,50.2,,12,,20.1,,10,
