year,month,period,metric,median,n_readings,iqr,min_val,max_val,flags_consensus,needs_review
2016,1,day,avion,,1,,,,,no_valid_readings
2016,1,day,total,,1,,,,,no_valid_readings
2016,1,evening,avion,,1,,,,,no_valid_readings
2016,1,evening,total,,1,,,,,no_valid_readings
2016,1,night,avion,,1,,,,,no_valid_readings
2016,1,night,total,,1,,,,,no_valid_readings
2016,2,day,avion,,2,,,,,no_valid_readings
2016,2,day,total,,2,,,,,no_valid_readings
2016,2,evening,avion,,2,,,,,no_valid_readings
2016,2,evening,total,,2,,,,,no_valid_readings
2016,2,night,avion,,2,,,,,no_valid_readings
2016,2,night,total,,2,,,,,no_valid_readings
2016,3,day,avion,,3,,,,,no_valid_readings
2016,3,day,total,,3,,,,,no_valid_readings
2016,3,evening,avion,,3,,,,,no_valid_readings
2016,3,evening,total,,3,,,,,no_valid_readings
2016,3,night,avion,,3,,,,,no_valid_readings
2016,3,night,total,,3,,,,,no_valid_readings
2016,4,day,avion,,4,,,,,no_valid_readings
2016,4,day,total,,4,,,,,no_valid_readings
2016,4,evening,avion,,4,,,,,no_valid_readings
2016,4,evening,total,,4,,,,,no_valid_readings
2016,4,night,avion,,4,,,,,no_valid_readings
2016,4,night,total,,4,,,,,no_valid_readings
2016,5,day,avion,,5,,,,,no_valid_readings
2016,5,day,total,,5,,,,,no_valid_readings
2016,5,evening,avion,,5,,,,,no_valid_readings
2016,5,evening,total,,5,,,,,no_valid_readings
2016,5,night,avion,,5,,,,,no_valid_readings
2016,5,night,total,,5,,,,,no_valid_readings
2016,6,day,avion,,6,,,,,no_valid_readings
2016,6,day,total,,6,,,,,no_valid_readings
2016,6,evening,avion,,6,,,,,no_valid_readings
2016,6,evening,total,,6,,,,,no_valid_readings
2016,6,night,avion,,6,,,,,no_valid_readings
2016,6,night,total,,6,,,,,no_valid_readings
2016,7,day,avion,,7,,,,,no_valid_readings
2016,7,day,total,,7,,,,,no_valid_readings
2016,7,evening,avion,,7,,,,,no_valid_readings
2016,7,evening,total,,7,,,,,no_valid_readings
2016,7,night,avion,,7,,,,,no_valid_readings
2016,7,night,total,,7,,,,,no_valid_readings
2016,8,day,avion,,8,,,,,no_valid_readings
2016,8,day,total,,8,,,,,no_valid_readings
2016,8,evening,avion,,8,,,,,no_valid_readings
2016,8,evening,total,,8,,,,,no_valid_readings
2016,8,night,avion,,8,,,,,no_valid_readings
2016,8,night,total,,8,,,,,no_valid_readings
2016,9,day,avion,,9,,,,,no_valid_readings
2016,9,day,total,43.8,1,0.0,43.8,43.8,,only_1_readings
2016,9,evening,avion,,9,,,,,no_valid_readings
2016,9,evening,total,,9,,,,,no_valid_readings
2016,9,night,avion,21.1,1,0.0,21.1,21.1,,only_1_readings
2016,9,night,total,49.1,1,0.0,49.1,49.1,,only_1_readings
2016,10,day,avion,,10,,,,,no_valid_readings
2016,10,day,total,43.0,2,0.0,43.0,43.0,,only_2_readings
2016,10,evening,avion,,10,,,,,no_valid_readings
2016,10,evening,total,37.2,1,0.0,37.2,37.2,,only_1_readings
2016,10,night,avion,20.9,2,0.0,20.9,20.9,,only_2_readings
2016,10,night,total,49.7,2,0.0,49.7,49.7,,only_2_readings
2016,11,day,avion,,11,,,,,no_valid_readings
2016,11,day,total,44.6,3,0.0,44.6,44.6,,
2016,11,evening,avion,,11,,,,,no_valid_readings
2016,11,evening,total,37.9,1,0.0,37.9,37.9,,only_1_readings
2016,11,night,avion,21.1,2,0.0,21.1,21.1,,only_2_readings
2016,11,night,total,50.0,3,0.0,50.0,50.0,,
2016,12,day,avion,,12,,,,,no_valid_readings
2016,12,day,total,44.5,4,0.0,44.5,44.5,,
2016,12,evening,avion,,12,,,,,no_valid_readings
2016,12,evening,total,38.0,1,0.0,38.0,38.0,,only_1_readings
2016,12,night,avion,22.4,4,0.0,22.4,22.4,,
2016,12,night,total,49.8,3,0.0,49.8,49.8,,
2017,1,day,avion,45.4,1,0.0,45.4,45.4,,only_1_readings
2017,1,day,total,45.4,3,10.700000000000003,45.4,56.1,,high_spread_10.7|std_6.2
2017,1,evening,avion,37.6,1,0.0,37.6,37.6,,only_1_readings
2017,1,evening,total,44.8,2,14.399999999999999,37.6,52.0,,high_spread_14.4|only_2_readings
2017,1,night,avion,20.2,5,0.0,20.2,20.2,,
2017,1,night,total,50.8,5,0.0,50.8,50.8,,
2017,2,day,avion,44.5,2,0.0,44.5,44.5,,only_2_readings
2017,2,day,total,52.35,4,11.700000000000003,44.5,56.2,,high_spread_11.7|std_5.8
2017,2,evening,avion,37.8,2,0.0,37.8,37.8,,only_2_readings
2017,2,evening,total,51.7,3,13.900000000000006,37.8,51.7,,high_spread_13.9|std_8.0
2017,2,night,avion,20.7,6,0.0,20.7,20.7,,
2017,2,night,total,53.2,5,0.0,53.2,53.2,,
2017,3,day,avion,43.2,3,0.0,43.2,43.2,,
2017,3,day,total,49.25,4,20.0,35.3,55.3,,high_spread_20.0|std_9.8
2017,3,evening,avion,35.6,3,0.0,35.6,35.6,,
2017,3,evening,total,50.9,4,15.299999999999997,35.6,50.9,,high_spread_15.3|std_7.6
2017,3,night,avion,18.9,7,0.0,18.9,18.9,,
2017,3,night,total,50.8,7,0.0,50.8,50.8,,
2017,4,day,avion,43.2,4,0.0,43.2,43.2,,
2017,4,day,total,54.9,4,11.699999999999996,43.2,54.9,,high_spread_11.7|std_5.8
2017,4,evening,avion,35.2,3,0.0,35.2,35.2,,
2017,4,evening,total,51.6,5,16.4,35.2,51.6,,high_spread_16.4|std_9.0
2017,4,night,avion,16.4,8,0.0,16.4,16.4,,
2017,4,night,total,51.5,5,0.0,51.5,51.5,,
