year,month,period,metric,value,flags,conf,suspicious
2022,1,day,total,55.2,,80.0,found_only_9_of_13
2022,1,day,avion,41.2,,47.0,low_conf
2022,1,evening,total,53.6,,75.0,found_only_6_of_13
2022,1,evening,avion,35.6,,71.0,
2022,1,night,total,50.9,,93.0,
2022,1,night,avion,,,92.0,parse_error
2022,2,day,total,57.6,,83.0,
2022,2,day,avion,39.7,,63.0,low_conf
2022,2,evening,total,53.2,,87.0,found_only_7_of_13
2022,2,evening,avion,36.5,,38.0,low_conf
2022,2,night,total,50.6,,94.0,
2022,2,night,avion,0.0,,76.0,
2022,3,day,total,57.0,,90.0,
2022,3,day,avion,39.8,,46.0,low_conf
2022,3,evening,total,53.5,,94.0,found_only_7_of_13
2022,3,evening,avion,37.1,,95.0,
2022,3,night,total,50.9,,93.0,
2022,3,night,avion,19.0,,96.0,
2022,4,day,total,56.8,,91.0,
2022,4,day,avion,37.6,,96.0,
2022,4,evening,total,53.5,,93.0,found_only_7_of_13
2022,4,evening,avion,32.7,,76.0,
2022,4,night,total,49.9,,83.0,
2022,4,night,avion,21.6,,94.0,
2022,5,day,total,55.1,,72.0,
2022,5,day,avion,41.4,,58.0,low_conf
2022,5,evening,total,52.4,,89.0,
2022,5,evening,avion,33.9,,96.0,
2022,5,night,total,50.6,,93.0,found_only_9_of_13
2022,5,night,avion,0.0,,76.0,
2022,6,day,total,55.2,,79.0,
2022,6,day,avion,40.0,¹,78.0,
2022,6,evening,total,52.1,,72.0,
2022,6,evening,avion,28.4,,96.0,
2022,6,night,total,51.8,,42.0,found_only_8_of_13|low_conf
2022,6,night,avion,11.6,,76.0,
2022,7,day,total,53.2,,87.0,
2022,7,day,avion,39.5,¹,72.0,
2022,7,evening,total,52.4,,24.0,found_only_9_of_13|low_conf
2022,7,evening,avion,,,69.0,parse_error|low_conf
2022,7,night,total,48.9,,78.0,found_only_8_of_13
2022,7,night,avion,0.0,,76.0,
2022,8,day,total,55.0,,95.0,
2022,8,day,avion,37.9,¹,44.0,low_conf
2022,8,evening,total,48.3,,76.0,
2022,8,evening,avion,,,63.0,parse_error|low_conf
2022,8,night,total,46.7,,85.0,
2022,8,night,avion,18.7,,95.0,
2022,9,day,total,54.2,,81.0,
2022,9,day,avion,37.9,¹,60.0,low_conf
2022,9,evening,total,48.3,,58.0,low_conf
2022,9,evening,avion,32.7,,94.0,
2022,9,night,total,49.8,,68.0,found_only_8_of_13|low_conf
2022,9,night,avion,20.4,,96.0,
2022,10,day,total,54.2,,67.0,low_conf
2022,10,day,avion,39.3,¹,65.0,low_conf
2022,10,evening,total,50.8,,43.0,found_only_9_of_13|low_conf
2022,10,evening,avion,34.0,,57.0,low_conf
2022,10,night,total,48.7,,70.0,
2022,10,night,avion,15.0,,96.0,
2022,11,day,total,55.0,,10.0,found_only_8_of_13|low_conf
2022,11,day,avion,40.2,*¹,68.0,low_conf
2022,11,evening,total,52.1,,32.0,found_only_6_of_13|low_conf
2022,11,evening,avion,32.1,,42.0,low_conf
2022,11,night,total,49.3,,82.0,
2022,11,night,avion,0.0,,76.0,
2022,12,day,total,,,-1,layout_not_detected
2022,12,day,avion,,,-1,layout_not_detected
2022,12,evening,total,,,-1,layout_not_detected
2022,12,evening,avion,,,-1,layout_not_detected
2022,12,night,total,,,-1,layout_not_detected
2022,12,night,avion,,,-1,layout_not_detected
