src_year,src_month,position,year,month,period,metric,value,flags,conf,raw_token,parse_issue
2017,1,0,2016,1,day,total,,,-1,,chart_not_detected
2017,1,1,2016,2,day,total,,,-1,,chart_not_detected
2017,1,2,2016,3,day,total,,,-1,,chart_not_detected
2017,1,3,2016,4,day,total,,,-1,,chart_not_detected
2017,1,4,2016,5,day,total,,,-1,,chart_not_detected
2017,1,5,2016,6,day,total,,,-1,,chart_not_detected
2017,1,6,2016,7,day,total,,,-1,,chart_not_detected
2017,1,7,2016,8,day,total,,,-1,,chart_not_detected
2017,1,8,2016,9,day,total,,,-1,,chart_not_detected
2017,1,9,2016,10,day,total,,,-1,,chart_not_detected
2017,1,10,2016,11,day,total,,,-1,,chart_not_detected
2017,1,11,2016,12,day,total,,,-1,,chart_not_detected
2017,1,12,2017,1,day,total,,,-1,,chart_not_detected
2017,1,0,2016,1,day,avion,,,-1,,chart_not_detected
2017,1,1,2016,2,day,avion,,,-1,,chart_not_detected
2017,1,2,2016,3,day,avion,,,-1,,chart_not_detected
2017,1,3,2016,4,day,avion,,,-1,,chart_not_detected
2017,1,4,2016,5,day,avion,,,-1,,chart_not_detected
2017,1,5,2016,6,day,avion,,,-1,,chart_not_detected
2017,1,6,2016,7,day,avion,,,-1,,chart_not_detected
2017,1,7,2016,8,day,avion,,,-1,,chart_not_detected
2017,1,8,2016,9,day,avion,,,-1,,chart_not_detected
2017,1,9,2016,10,day,avion,,,-1,,chart_not_detected
2017,1,10,2016,11,day,avion,,,-1,,chart_not_detected
2017,1,11,2016,12,day,avion,,,-1,,chart_not_detected
2017,1,12,2017,1,day,avion,,,-1,,chart_not_detected
2017,1,0,2016,1,evening,total,,,-1,,chart_not_detected
2017,1,1,2016,2,evening,total,,,-1,,chart_not_detected
2017,1,2,2016,3,evening,total,,,-1,,chart_not_detected
2017,1,3,2016,4,evening,total,,,-1,,chart_not_detected
2017,1,4,2016,5,evening,total,,,-1,,chart_not_detected
2017,1,5,2016,6,evening,total,,,-1,,chart_not_detected
2017,1,6,2016,7,evening,total,,,-1,,chart_not_detected
2017,1,7,2016,8,evening,total,,,-1,,chart_not_detected
2017,1,8,2016,9,evening,total,,,-1,,chart_not_detected
2017,1,9,2016,10,evening,total,,,-1,,chart_not_detected
2017,1,10,2016,11,evening,total,,,-1,,chart_not_detected
2017,1,11,2016,12,evening,total,,,-1,,chart_not_detected
2017,1,12,2017,1,evening,total,,,-1,,chart_not_detected
2017,1,0,2016,1,evening,avion,,,-1,,chart_not_detected
2017,1,1,2016,2,evening,avion,,,-1,,chart_not_detected
2017,1,2,2016,3,evening,avion,,,-1,,chart_not_detected
2017,1,3,2016,4,evening,avion,,,-1,,chart_not_detected
2017,1,4,2016,5,evening,avion,,,-1,,chart_not_detected
2017,1,5,2016,6,evening,avion,,,-1,,chart_not_detected
2017,1,6,2016,7,evening,avion,,,-1,,chart_not_detected
2017,1,7,2016,8,evening,avion,,,-1,,chart_not_detected
2017,1,8,2016,9,evening,avion,,,-1,,chart_not_detected
2017,1,9,2016,10,evening,avion,,,-1,,chart_not_detected
2017,1,10,2016,11,evening,avion,,,-1,,chart_not_detected
2017,1,11,2016,12,evening,avion,,,-1,,chart_not_detected
2017,1,12,2017,1,evening,avion,,,-1,,chart_not_detected
2017,1,0,2016,1,night,total,,,-1,,chart_not_detected
2017,1,1,2016,2,night,total,,,-1,,chart_not_detected
2017,1,2,2016,3,night,total,,,-1,,chart_not_detected
2017,1,3,2016,4,night,total,,,-1,,chart_not_detected
2017,1,4,2016,5,night,total,,,-1,,chart_not_detected
2017,1,5,2016,6,night,total,,,-1,,chart_not_detected
2017,1,6,2016,7,night,total,,,-1,,chart_not_detected
